Name,Maths,Reading,Writing,Parents Name,Parents Education,Sleep Time,Social Media,Food,Test Prep,Gender,Parental Involvement Insights,Overall Performance,Parent Education Level,Sleep Category,Social Media Category,Normalized Maths,Normalized Reading,Normalized Writing,Performance Category
Nicholas,87,100,95,Maudie Cage,2.0,5,0.0,1,1,1,This First Look report introduces new National Household Education Survey (NHES) survey data that presents findings from the Parent and Family Involvement in Education Survey of the National Household Education Surveys Program of 2023 (PFI-NHES:2023).,94.0,Low,Insufficient,Low,0.87,1.0,0.9444444444444444,Excellent
"Ashley,79,81,71,Hilde Greaves,2.0,7,0.0,2,0,0,""This data point explores the types of schools that children attend, whether parents consider more than one school for their child, and the reasons parents report as being important when they consider schools for their children."",77.0,Low,Optimal,Low,0.79,0.7710843373493976,0.6777777777777778,Excellent"
Eric,38,49,45,Christiana Rippe,1.0,8,0.0,2,0,1,This report presents data about various aspects of parent involvement in education and reasons for choosing the childƒ??s school. These data represent circumstances before the implementation of coronavirus pandemic restrictions.,44.0,Low,Optimal,Low,0.38,0.3855421686746988,0.3888888888888889,Poor
"Frank,38,43,43,Bulah Warr,1.0,9,0.0,2,0,1,""This report uses data from multiple surveys to describe the landscape of school choice. The report discusses the changes over time in enrollment in traditional public, public charter, and private schools, as well as changes in the number of students who were homeschooled. It includes information on the characteristics of students enrolled in public and private schools, as well as characteristics of students who were homeschooled."",41.333333333333336,Low,Oversleep,Low,0.38,0.3132530120481928,0.3666666666666667,Poor"
Gary,67,76,75,Azzie Stolte,3.0,7,0.0,1,0,1,NCES Annual Reports,72.66666666666667,Medium,Optimal,Low,0.67,0.710843373493976,0.7222222222222222,Average
Anna,64,73,70,Sharri Whistler,4.0,8,0.0,1,0,0,The NCES Annual Reports and Information program produces several reports each year that draw from over 25 surveys by NCES and other government agencies. Many of these reports include information on enrollment in public charter schools and private schools. The Digest of Education Statistics includes additional information on school choice and parent involvement.,69.0,Medium,Optimal,Low,0.64,0.674698795180723,0.6666666666666666,Average
Stephen,57,78,67,Rebecka Holliman,2.0,7,0.0,2,0,1,Longitudinal Studies,67.33333333333333,Low,Optimal,Low,0.5700000000000001,0.7349397590361446,0.6333333333333333,Average
"Jonathan,62,64,64,Bryce Muse,2.0,5,0.0,1,0,1,""NCES has a series of High School, Middle Grades, and Early Childhood longitudinal studies that track studentsƒ?? development, achievement, and learning over time. "",63.333333333333336,Low,Insufficient,Low,0.62,0.5662650602409639,0.6,Average"
Sandra,73,70,75,Merideth Marcus,2.0,6,0.0,1,0,0,State Education Practices (School Choice),72.66666666666667,Low,Insufficient,Low,0.73,0.6385542168674699,0.7222222222222222,Average
"Emily,73,67,59,Nova Boden,1.0,7,0.0,2,1,0,""This website provides an overview of state policies and practices across many areas of education, including policies on charter schools, which operate with varying degrees of independence from state education agencies in exchange for increased accountability for student performance."",66.33333333333333,Low,Optimal,Low,0.73,0.6024096385542169,0.5444444444444444,Average"
Amanda,77,68,77,Granville Watchman,3.0,8,0.0,1,0,0,Parent Involvement Toolkit,74.0,Medium,Optimal,Low,0.77,0.6144578313253013,0.7444444444444445,Average
"Kimberly,76,67,67,Marquerite Dearborn,3.0,5,0.0,1,0,0,""The Institute of Education Sciences Toolkit of Resources for Engaging Families and the Community as Partners in Education is a four-part resource that brings together research, promising practices, and useful tools and resources to guide educators in strengthening partnerships with families and community members to support student learning. "",70.0,Medium,Insufficient,Low,0.76,0.6024096385542169,0.6333333333333333,Average"
Michelle,57,54,56,Arielle Ketcham,2.0,6,0.0,1,1,0,Back to Top ,55.66666666666666,Low,Insufficient,Low,0.5700000000000001,0.4457831325301205,0.5111111111111111,Average
"Donna,65,74,77,Shona Buggs,1.0,9,0.0,1,1,0,""Data about parent involvement in education and school choice from kindergarten to high school are currently collected in the Parent and Family Involvement in Education (PFI). The PFI survey collects data about students who are enrolled in kindergarten through grade 12 and asks questions about school choice and various aspects of parent involvement in education, such as help with homework, family activities, and parent engagement in schools. Parents are the respondents."",72.0,Low,Oversleep,Low,0.65,0.6867469879518073,0.7444444444444445,Average"
Justin,48,45,41,Aleta Ciesla,2.0,8,0.0,2,0,1,Learn More: Go to About the NHES,44.66666666666666,Low,Optimal,Low,0.48,0.3373493975903615,0.3444444444444444,Poor
Laura,50,67,63,Jenni Wichman,2.0,7,0.0,2,0,0,This First Look report introduces new National Household Education Survey (NHES) survey data that presents findings from the Parent and Family Involvement in Education Survey of the National Household Education Surveys Program of 2023 (PFI-NHES:2023).,60.0,Low,Optimal,Low,0.5,0.6024096385542169,0.5888888888888889,Average
"Ruth,85,89,95,Cuc Phinney,2.0,6,0.0,1,0,0,""This data point explores the types of schools that children attend, whether parents consider more than one school for their child, and the reasons parents report as being important when they consider schools for their children."",89.66666666666667,Low,Insufficient,Low,0.85,0.8674698795180723,0.9444444444444444,Excellent"
Carol,74,63,57,Danica Fleig,1.0,9,0.0,1,0,0,This report presents data about various aspects of parent involvement in education and reasons for choosing the childƒ??s school. These data represent circumstances before the implementation of coronavirus pandemic restrictions.,64.66666666666667,Low,Oversleep,Low,0.74,0.5542168674698795,0.5222222222222221,Average
"Brandon,60,59,54,Shaquana Emigh,1.0,8,0.0,1,0,1,""This report uses data from multiple surveys to describe the landscape of school choice. The report discusses the changes over time in enrollment in traditional public, public charter, and private schools, as well as changes in the number of students who were homeschooled. It includes information on the characteristics of students enrolled in public and private schools, as well as characteristics of students who were homeschooled."",57.66666666666666,Low,Optimal,Low,0.6,0.5060240963855422,0.4888888888888889,Average"
Larry,59,54,67,Brinda Master,1.0,7,0.0,1,1,1,NCES Annual Reports,60.0,Low,Optimal,Low,0.59,0.4457831325301205,0.6333333333333333,Average
Scott,53,43,43,Janell Hinojos,3.0,8,0.0,1,0,1,The NCES Annual Reports and Information program produces several reports each year that draw from over 25 surveys by NCES and other government agencies. Many of these reports include information on enrollment in public charter schools and private schools. The Digest of Education Statistics includes additional information on school choice and parent involvement.,46.333333333333336,Medium,Optimal,Low,0.53,0.3132530120481928,0.3666666666666667,Poor
Melissa,49,65,55,Karri Celestin,3.0,7,0.0,2,0,0,Longitudinal Studies,56.333333333333336,Medium,Optimal,Low,0.49,0.5783132530120483,0.5,Average
"Stephanie,88,99,100,Enid Bouley,2.0,8,0.0,1,1,0,""NCES has a series of High School, Middle Grades, and Early Childhood longitudinal studies that track studentsƒ?? development, achievement, and learning over time. "",95.66666666666669,Low,Optimal,Low,0.88,0.9879518072289156,1.0,Excellent"
Benjamin,54,59,62,Desire Klenke,2.0,9,0.0,1,0,1,State Education Practices (School Choice),58.333333333333336,Low,Oversleep,Low,0.54,0.5060240963855422,0.5777777777777777,Average
"Raymond,63,73,68,Brian Chamberlain,1.0,8,0.0,1,0,1,""This website provides an overview of state policies and practices across many areas of education, including policies on charter schools, which operate with varying degrees of independence from state education agencies in exchange for increased accountability for student performance."",68.0,Low,Optimal,Low,0.63,0.674698795180723,0.6444444444444444,Average"
Samuel,65,65,63,Kristeen Farabaugh,2.0,7,0.0,1,1,1,Parent Involvement Toolkit,64.33333333333333,Low,Optimal,Low,0.65,0.5783132530120483,0.5888888888888889,Average
"Rebecca,82,80,77,Gilda Vanatta,2.0,6,0.0,1,0,0,""The Institute of Education Sciences Toolkit of Resources for Engaging Families and the Community as Partners in Education is a four-part resource that brings together research, promising practices, and useful tools and resources to guide educators in strengthening partnerships with families and community members to support student learning. "",79.66666666666667,Low,Insufficient,Low,0.8200000000000001,0.7590361445783133,0.7444444444444445,Excellent"
Deborah,52,57,56,Princess Bumbrey,2.0,6,0.0,2,1,0,Back to Top ,55.0,Low,Insufficient,Low,0.52,0.4819277108433735,0.5111111111111111,Average
"Gregory,87,84,85,Earlie Townson,2.0,7,0.0,1,1,1,""Data about parent involvement in education and school choice from kindergarten to high school are currently collected in the Parent and Family Involvement in Education (PFI). The PFI survey collects data about students who are enrolled in kindergarten through grade 12 and asks questions about school choice and various aspects of parent involvement in education, such as help with homework, family activities, and parent engagement in schools. Parents are the respondents."",85.33333333333333,Low,Optimal,Low,0.87,0.8072289156626508,0.8333333333333334,Excellent"
Sharon,70,71,74,Fumiko Laliberte,2.0,8,0.0,1,1,0,Learn More: Go to About the NHES,71.66666666666667,Low,Optimal,Low,0.7000000000000001,0.6506024096385543,0.7111111111111111,Average
Kathleen,84,83,78,Sherie Chason,3.0,6,0.0,1,1,0,This First Look report introduces new National Household Education Survey (NHES) survey data that presents findings from the Parent and Family Involvement in Education Survey of the National Household Education Surveys Program of 2023 (PFI-NHES:2023).,81.66666666666667,Medium,Insufficient,Low,0.84,0.7951807228915663,0.7555555555555555,Excellent
"Amy,71,66,60,Gricelda Maravilla,2.0,9,0.0,1,0,0,""This data point explores the types of schools that children attend, whether parents consider more than one school for their child, and the reasons parents report as being important when they consider schools for their children."",65.66666666666667,Low,Oversleep,Low,0.71,0.5903614457831325,0.5555555555555556,Average"
Cynthia,63,67,67,Serafina Knoll,1.0,6,0.0,1,1,0,This report presents data about various aspects of parent involvement in education and reasons for choosing the childƒ??s school. These data represent circumstances before the implementation of coronavirus pandemic restrictions.,65.66666666666667,Low,Insufficient,Low,0.63,0.6024096385542169,0.6333333333333333,Average
"Alexander,51,72,79,Sachiko Younkin,4.0,7,0.0,2,1,1,""This report uses data from multiple surveys to describe the landscape of school choice. The report discusses the changes over time in enrollment in traditional public, public charter, and private schools, as well as changes in the number of students who were homeschooled. It includes information on the characteristics of students enrolled in public and private schools, as well as characteristics of students who were homeschooled."",67.33333333333333,Medium,Optimal,Low,0.51,0.6626506024096386,0.7666666666666666,Average"
Patrick,84,73,69,Jena Noles,2.0,8,0.0,1,0,1,NCES Annual Reports,75.33333333333333,Low,Optimal,Low,0.84,0.674698795180723,0.6555555555555556,Excellent
Jack,71,74,68,Shelby Wiser,4.0,7,0.0,1,1,1,The NCES Annual Reports and Information program produces several reports each year that draw from over 25 surveys by NCES and other government agencies. Many of these reports include information on enrollment in public charter schools and private schools. The Digest of Education Statistics includes additional information on school choice and parent involvement.,71.0,Medium,Optimal,Low,0.71,0.6867469879518073,0.6444444444444444,Average
Henry,74,73,67,Margareta Spies,2.0,8,0.0,1,0,1,Longitudinal Studies,71.33333333333333,Low,Optimal,Low,0.74,0.674698795180723,0.6333333333333333,Average
"Angela,68,59,62,Dinorah Furey,3.0,8,0.0,1,0,0,""NCES has a series of High School, Middle Grades, and Early Childhood longitudinal studies that track studentsƒ?? development, achievement, and learning over time. "",63.0,Medium,Optimal,Low,0.68,0.5060240963855422,0.5777777777777777,Average"
Shirley,57,56,54,Kiyoko Lechuga,2.0,7,0.0,2,1,0,State Education Practices (School Choice),55.66666666666666,Low,Optimal,Low,0.5700000000000001,0.4698795180722892,0.4888888888888889,Average
"Emma,82,93,93,Danny Kreger,2.0,6,0.0,2,1,0,""This website provides an overview of state policies and practices across many areas of education, including policies on charter schools, which operate with varying degrees of independence from state education agencies in exchange for increased accountability for student performance."",89.33333333333333,Low,Insufficient,Low,0.8200000000000001,0.9156626506024098,0.9222222222222224,Excellent"
Catherine,57,58,64,Nolan Fenwick,2.0,7,0.0,1,1,0,Parent Involvement Toolkit,59.66666666666666,Low,Optimal,Low,0.5700000000000001,0.4939759036144578,0.6,Average
"Katherine,47,58,67,Lesli Unrein,2.0,8,0.0,2,1,0,""The Institute of Education Sciences Toolkit of Resources for Engaging Families and the Community as Partners in Education is a four-part resource that brings together research, promising practices, and useful tools and resources to guide educators in strengthening partnerships with families and community members to support student learning. "",57.333333333333336,Low,Optimal,Low,0.47,0.4939759036144578,0.6333333333333333,Average"
Virginia,59,85,80,Donya Bartle,1.0,7,0.0,1,1,0,Back to Top ,74.66666666666667,Low,Optimal,Low,0.59,0.819277108433735,0.7777777777777778,Average
"Nicole,41,39,34,Palma Flanery,3.0,6,0.0,2,0,0,""Data about parent involvement in education and school choice from kindergarten to high school are currently collected in the Parent and Family Involvement in Education (PFI). The PFI survey collects data about students who are enrolled in kindergarten through grade 12 and asks questions about school choice and various aspects of parent involvement in education, such as help with homework, family activities, and parent engagement in schools. Parents are the respondents."",38.0,Medium,Insufficient,Low,0.41,0.2650602409638554,0.2666666666666666,Poor"
Dennis,62,67,62,Kenny Clothier,3.0,6,0.0,2,0,1,Learn More: Go to About the NHES,63.66666666666666,Medium,Insufficient,Low,0.62,0.6024096385542169,0.5777777777777777,Average
Walter,86,83,86,Kristen Lossing,4.0,7,0.0,1,0,1,This First Look report introduces new National Household Education Survey (NHES) survey data that presents findings from the Parent and Family Involvement in Education Survey of the National Household Education Surveys Program of 2023 (PFI-NHES:2023).,85.0,Medium,Optimal,Low,0.86,0.7951807228915663,0.8444444444444444,Excellent
"Tyler,69,71,65,Karoline Felix,1.0,9,0.0,2,0,1,""This data point explores the types of schools that children attend, whether parents consider more than one school for their child, and the reasons parents report as being important when they consider schools for their children."",68.33333333333333,Low,Oversleep,Low,0.6900000000000001,0.6506024096385543,0.611111111111111,Average"
Peter,65,59,53,Alan Voll,1.0,7,0.0,2,0,1,This report presents data about various aspects of parent involvement in education and reasons for choosing the childƒ??s school. These data represent circumstances before the implementation of coronavirus pandemic restrictions.,59.0,Low,Optimal,Low,0.65,0.5060240963855422,0.4777777777777778,Average
"Brenda,68,63,54,Glenda Woolfolk,1.0,8,0.0,2,0,0,""This report uses data from multiple surveys to describe the landscape of school choice. The report discusses the changes over time in enrollment in traditional public, public charter, and private schools, as well as changes in the number of students who were homeschooled. It includes information on the characteristics of students enrolled in public and private schools, as well as characteristics of students who were homeschooled."",61.66666666666666,Low,Optimal,Low,0.68,0.5542168674698795,0.4888888888888889,Average"
Aaron,64,66,59,Alyson Hosack,2.0,9,0.0,2,0,1,NCES Annual Reports,63.0,Low,Oversleep,Low,0.64,0.5903614457831325,0.5444444444444444,Average
Jerry,61,72,70,Francis Sines,2.0,7,0.0,1,0,1,The NCES Annual Reports and Information program produces several reports each year that draw from over 25 surveys by NCES and other government agencies. Many of these reports include information on enrollment in public charter schools and private schools. The Digest of Education Statistics includes additional information on school choice and parent involvement.,67.66666666666667,Low,Optimal,Low,0.61,0.6626506024096386,0.6666666666666666,Average
Christine,61,56,55,Riley Bagnall,2.0,8,0.0,1,0,0,Longitudinal Studies,57.333333333333336,Low,Optimal,Low,0.61,0.4698795180722892,0.5,Average
"Samantha,47,59,50,Carmina Camp,1.0,9,0.0,2,0,0,""NCES has a series of High School, Middle Grades, and Early Childhood longitudinal studies that track studentsƒ?? development, achievement, and learning over time. "",52.0,Low,Oversleep,Low,0.47,0.5060240963855422,0.4444444444444445,Average"
Adam,73,66,66,Alethia Tiemann,1.0,5,0.0,1,0,1,State Education Practices (School Choice),68.33333333333333,Low,Insufficient,Low,0.73,0.5903614457831325,0.6222222222222222,Average
